"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
LPC 0:0_18:2,C26 H50 N O7 P,519.3331,1.40,,1221909.8470203,694480.700401489,466469.428461241,549452.91491321,428854.44988541,1080237.34956219
TG 54:7,C57 H96 O6,876.7206,12.56,,762150.664346617,180676.733910571,445513.108289997,959005.46109872,1403473.6744884,2111427.00580683
PC 33:1,C41 H80 N O8 P,745.5613,6.66,,1661147.76515327,1182227.5645454,1038666.33251302,2179606.87084924,1834188.21855413,2637782.70844398
SM d40:2,C45 H89 N2 O6 P,784.6463,9.09,,3145141.40478206,1422528.51680255,1631047.67383604,1026047.06160203,246712.454251155,765858.439097942
TG 54:6,C57 H98 O6,878.7377,12.77,,4186523.19882618,621985.336914823,1424723.9878853,5270866.93772896,7829245.60919139,16690436.9698572
PC 37:5,C45 H80 N O8 P,793.5628,5.86,,779585.726133962,344116.262010961,327399.296537201,523790.350611945,628365.155128541,1020622.92567053
TG 56:6,C59 H102 O6,906.7684,13.16,,5703836.81735665,1593913.91883281,3723320.48067826,6382152.26507006,5257420.43462392,8841898.62183629
TG 54:7,C57 H96 O6,876.7209,12.69,,976425.221552369,294185.784475107,964723.209047261,715367.643390737,1027442.41430804,1940999.82600968
TG 52:5,C55 H96 O6,852.7220,12.78,,4573411.1240879,946841.062214411,1674976.32558852,7679783.26328661,4484339.75246981,5692507.11818233
PC 40:6,C48 H84 N O8 P,833.5939,6.64,,1241010.82213698,640197.689840779,838105.704036085,1398396.99418214,1777827.11104589,1736747.78952817
LPC 18:2,C26 H50 N O7 P,519.3332,1.54,,1207038.68132908,559638.260259006,376536.764890611,404792.293308386,295465.814921305,599459.377935386
TG 52:1,C55 H104 O6,860.7846,14.14,,4288236.60921094,3392692.60634978,4365655.14222883,4947345.17218648,4886969.29418361,4792850.22921224
TG 18:0_18:1_20:4,C59 H104 O6,908.7837,13.54,,1414076.23237025,167782.76307784,765298.144716135,1016609.27255665,1133244.80686695,1590227.88208496
TG 16:0_20:4_22:6,C61 H98 O6,926.7364,12.56,,1344670.83040327,242284.341349603,602722.780172611,1004955.2327088,1369257.51318172,2163749.0247165
PC 39:6,C47 H82 N O8 P,819.5780,6.61,,1100007.97296848,375021.748643885,572556.284157398,978400.037114577,934896.197746907,1984714.15799376
EtherPC 14:1e_4:0,C26 H52 N O7 P,521.3488,1.86,,830016.931024735,582354.202154682,353944.770816359,464652.393739215,237199.710079158,519665.926373765
